area,bedrooms,datetime,geotag,has_image,has_map,id,name,price,repost_of,url,where
,2,2019-04-07 16:13,"(43.77182, -79.412632)",True,True,6860569181,Newly Renovated Unit With Outstanding Finishes,$719000,,https://toronto.craigslist.org/tor/reb/d/north-york-newly-renovated-unit-with/6860569181.html,Toronto
,2,2019-04-07 16:01,"(43.7124, -79.3644)",True,True,6860558945,Open Concept Split 2 Bedroom Design With 2 Full Washrooms,$716900,,https://toronto.craigslist.org/tor/reb/d/east-york-open-concept-split-2-bedroom/6860558945.html,Toronto
,3,2019-04-07 15:57,"(43.67165, -79.302983)",True,True,6860530299,Bright Detached 3 Storey Home In Prime Beach Location.,$1950000,,https://toronto.craigslist.org/tor/reb/d/toronto-bright-detached-3-storey-home/6860530299.html,177 Kenilworth Ave
,4,2019-04-07 15:49,"(43.670725, -79.417392)",True,True,6860548364,Semi-Detached 2-Storey House for Sale,$1200000,,https://toronto.craigslist.org/tor/reo/d/toronto-semi-detached-2-storey-house/6860548364.html,The Annex/Seaton Village Area
,2,2019-04-07 15:43,"(43.605647, -79.501321)",True,True,6860543241,2 Bedroom + Den Your Home On The Water,$699000,,https://toronto.craigslist.org/tor/reb/d/etobicoke-2-bedroom-den-your-home-on/6860543241.html,Toronto
2250ft2,4,2019-04-07 15:34,"(43.71804, -79.235523)",True,True,6860525438,Magnificent Custom Built Home In Highly Sought-Out Neighborhood,$1680000,,https://toronto.craigslist.org/tor/reb/d/scarborough-magnificent-custom-built/6860525438.html,89 Eastville Ave
,6,2019-04-07 15:33,"(43.66598, -79.332636)",True,True,6860511071,Immaculate Large House In Prime South Riverdale Community,$1249000,,https://toronto.craigslist.org/tor/reb/d/toronto-immaculate-large-house-in-prime/6860511071.html,96 Curzon St
3250ft2,4,2019-04-07 15:22,"(43.790544, -79.12774)",True,True,6860504631,"Freshly Painted, Wonderful Home W/5 Bedroom, 5 Bathrooms",$1149900,,https://toronto.craigslist.org/tor/reb/d/scarborough-freshly-painted-wonderful/6860504631.html,83 Starspray Blvd
2250ft2,4,2019-04-07 14:59,"(43.819555, -79.201256)",True,True,6860471911,Stunning Four Bedroom Detached Greenpark Built Home,$849000,,https://toronto.craigslist.org/tor/reb/d/scarborough-stunning-four-bedroom/6860471911.html,592 Sewells Rd
,1,2019-04-07 14:51,"(43.6383, -79.4301)",True,True,6860496887,Gorgeous One Bedroom + Den Unit,$699000,,https://toronto.craigslist.org/tor/reb/d/toronto-gorgeous-one-bedroom-den-unit/6860496887.html,Toronto
